"country","city","length","accuracy","files"
158,-1,1314,0.99923896499239,"./Temp/BST-Country/158.bst"
159,-1,100,0,"./Temp/BST-Country/159.bst"
160,-1,9,0,"./Temp/BST-Country/160.bst"
161,-1,23,0.0434782608695652,"./Temp/BST-Country/161.bst"
162,-1,3749,0.995998933048813,"./Temp/BST-Country/162.bst"
163,-1,1511,1,"./Temp/BST-Country/163.bst"
164,-1,7,0,"./Temp/BST-Country/164.bst"
165,-1,6,0,"./Temp/BST-Country/165.bst"
166,-1,437,0.997711670480549,"./Temp/BST-Country/166.bst"
167,-1,10064,0.904809220985692,"./Temp/BST-Country/167.bst"
168,-1,1099,1,"./Temp/BST-Country/168.bst"
169,-1,37,0.027027027027027,"./Temp/BST-Country/169.bst"
170,-1,15,0,"./Temp/BST-Country/170.bst"
171,-1,14,0,"./Temp/BST-Country/171.bst"
172,-1,15,0,"./Temp/BST-Country/172.bst"
173,-1,516,0.998062015503876,"./Temp/BST-Country/173.bst"
174,-1,120,0.841666666666667,"./Temp/BST-Country/174.bst"
175,-1,68,0.794117647058823,"./Temp/BST-Country/175.bst"
176,-1,496,1,"./Temp/BST-Country/176.bst"
178,-1,1297,0.996144949884349,"./Temp/BST-Country/178.bst"
179,-1,7441,0.963445773417551,"./Temp/BST-Country/179.bst"
180,-1,561,1,"./Temp/BST-Country/180.bst"
181,-1,3864,0.998706004140787,"./Temp/BST-Country/181.bst"
182,-1,14215,0.891311994372142,"./Temp/BST-Country/182.bst"
183,-1,115,0.826086956521739,"./Temp/BST-Country/183.bst"
184,-1,40,0,"./Temp/BST-Country/184.bst"
185,-1,111,0.783783783783784,"./Temp/BST-Country/185.bst"
186,-1,98,0.816326530612245,"./Temp/BST-Country/186.bst"
187,-1,71,0.676056338028169,"./Temp/BST-Country/187.bst"
188,-1,1404,0.998575498575499,"./Temp/BST-Country/188.bst"
189,-1,79,0.632911392405063,"./Temp/BST-Country/189.bst"
190,-1,1830,1,"./Temp/BST-Country/190.bst"
191,-1,2142,0.99953314659197,"./Temp/BST-Country/191.bst"
192,-1,106,0.830188679245283,"./Temp/BST-Country/192.bst"
193,-1,13,0,"./Temp/BST-Country/193.bst"
194,-1,13124,0.849817128924109,"./Temp/BST-Country/194.bst"
195,-1,19730,0.799645210339584,"./Temp/BST-Country/195.bst"
196,-1,199,0.969849246231156,"./Temp/BST-Country/196.bst"
